combattant,date_debut,age_debut,taille_cm,allonge_cm,poids_kg,garde,categorie_debut,cote_debut,adv1,adv1_combats_avant,adv1_pagerank,resultat_debut,methode_debut,nb_combats_total,date_dernier_combat,annee_debut,debut_propre,n_premiers,victoires_3premiers,adv3_combats_moy,adv3_pagerank_moy,adv3_nouveaux,ko_tko_3premiers,soumissions_3premiers,victoires_adv_central_3premiers,frappes_sig_moy_apres3,precision_frappes_apres3,takedowns_moy_apres3,precision_td_apres3,soumissions_tent_moy_apres3,ratio_allonge_taille,au_moins_3_combats,Y_8_combats_plus,dans_cohorte
Dan Henderson,2011-11-19,41,180.34,187.96,83.9,Orthodox,Light Heavyweight,143.0,Mauricio Rua,7,0.7491,V,U-DEC,11,2016-10-08,2011,0,3,1.0,12.0,2.2411,0.0,0.0,0.0,0.0,38.3,0.484,1.4,0.394,0.5,1.042,1,1,0
Cung Le,2011-11-19,39,175.26,175.26,83.9,Southpaw,Middleweight,-220.0,Wanderlei Silva,9,,D,KO/TKO,4,2014-08-23,2011,1,3,2.0,13.0,0.5521,0.0,2.0,0.0,0.0,31.6667,0.457,0.6667,0.333,0.0,1.0,1,0,1
Alex Soto,2011-11-19,27,172.72,180.34,61.2,Southpaw,Bantamweight,365.0,Michael McDonald,2,,D,KO/TKO,2,2012-05-15,2011,1,2,,,,,,,,,,,,,1.044,0,0,1
Jason Miller,2011-12-03,30,185.42,182.88,83.9,Orthodox,Middleweight,177.0,Michael Bisping,14,2.3186,D,KO/TKO,2,2012-05-26,2011,0,2,,,,,,,,,,,,,0.986,0,0,0
Diego Brandao,2011-12-03,24,170.18,172.72,65.8,Orthodox,Featherweight,-320.0,Dennis Bermudez,0,,V,SUB,10,2016-01-02,2011,1,3,2.0,1.6667,1.9154,1.0,0.0,1.0,0.0,25.0,0.46,1.3333,0.583,0.3333,1.015,1,1,1
Dennis Bermudez,2011-12-03,24,167.64,167.64,70.3,Orthodox,Featherweight,290.0,Diego Brandao,0,,D,SUB,17,2019-01-19,2011,1,3,2.0,1.3333,1.8228,1.0,0.0,2.0,1.0,27.3333,0.427,3.3333,0.793,1.0,1.0,1,1,1
TJ Dillashaw,2011-12-03,25,167.64,170.18,56.7,Orthodox,Bantamweight,-215.0,John Dodson,0,,D,KO/TKO,18,2022-10-22,2011,1,3,2.0,1.3333,0.5521,1.0,1.0,1.0,0.0,30.0,0.337,1.6667,0.36,2.0,1.015,1,1,1
John Dodson,2011-12-03,27,160.02,167.64,61.2,Orthodox,Bantamweight,195.0,TJ Dillashaw,0,,V,KO/TKO,17,2020-08-15,2011,1,3,3.0,0.0,,3.0,2.0,0.0,0.0,40.0,0.307,0.6667,0.167,0.0,1.048,1,1,1
Louis Gaudinot,2011-12-03,27,160.02,160.02,56.7,Orthodox,Bantamweight,205.0,Johnny Bedford,0,,D,KO/TKO,4,2015-01-03,2011,1,3,1.0,0.6667,0.3731,2.0,1.0,1.0,0.0,25.25,0.385,0.5,0.25,0.5,1.0,1,0,1
Johnny Bedford,2011-12-03,28,177.8,180.34,61.2,Orthodox,Bantamweight,-225.0,Louis Gaudinot,0,,V,KO/TKO,5,2014-09-13,2011,1,3,2.0,1.3333,0.8848,1.0,2.0,1.0,0.0,42.5,0.545,1.25,0.415,0.0,1.014,1,0,1
Marcus Brimage,2011-12-03,26,162.56,180.34,61.2,Southpaw,Featherweight,104.0,Stephen Bass,0,,V,U-DEC,8,2015-07-18,2011,1,3,3.0,0.6667,0.7766,2.0,0.0,0.0,0.0,74.3333,0.333,0.3333,0.333,0.0,1.109,1,1,1
Stephen Bass,2011-12-03,29,175.26,185.0,65.8,Orthodox,Featherweight,-114.0,Marcus Brimage,0,,D,U-DEC,1,2011-12-03,2011,1,1,,,,,,,,,,,,,1.056,0,0,1
Dustin Pague,2011-12-03,24,175.26,187.96,61.2,Orthodox,Bantamweight,-225.0,John Albert,0,,D,KO/TKO,6,2013-10-19,2011,1,3,1.0,1.0,0.5521,1.0,1.0,1.0,0.0,16.6667,0.47,0.3333,0.333,0.3333,1.072,1,0,1
John Albert,2011-12-03,25,172.72,172.72,61.2,Orthodox,Bantamweight,205.0,Dustin Pague,0,,V,KO/TKO,5,2013-07-27,2011,1,3,1.0,1.0,0.9514,2.0,1.0,2.0,0.0,19.3333,0.473,0.0,0.0,1.6667,1.0,1,0,1
Roland Delorme,2011-12-03,27,175.26,180.34,61.2,Orthodox,Bantamweight,-105.0,Josh Ferguson,0,,V,SUB,6,2014-08-23,2011,1,3,3.0,1.6667,0.6134,1.0,0.0,2.0,0.0,25.0,0.505,2.25,0.285,1.5,1.029,1,0,1
Josh Ferguson,2011-12-03,23,165.1,167.64,56.7,Orthodox,Bantamweight,-115.0,Roland Delorme,0,,D,SUB,2,2012-07-11,2011,1,2,,,,,,,,,,,,,1.015,0,0,1
Steven Siler,2011-12-03,24,180.34,177.8,65.8,Orthodox,Featherweight,-160.0,Josh Clopton,0,,V,U-DEC,9,2014-07-26,2011,1,3,3.0,3.3333,1.795,2.0,0.0,1.0,1.0,55.0,0.55,0.6667,0.163,1.3333,0.986,1,1,1
Josh Clopton,2011-12-03,30,167.64,172.72,65.8,Orthodox,Featherweight,150.0,Steven Siler,0,,D,U-DEC,2,2013-08-03,2011,1,2,,,,,,,,,,,,,1.03,0,0,1
Bryan Caraway,2011-12-03,27,172.72,172.72,61.2,Orthodox,Featherweight,-405.0,Dustin Neace,0,,V,SUB,10,2018-11-30,2011,1,3,2.0,1.6667,0.8225,2.0,0.0,2.0,0.0,23.6667,0.36,2.6667,0.497,1.0,1.0,1,1,1
Dustin Neace,2011-12-03,25,175.26,175.0,65.8,Orthodox,Featherweight,360.0,Bryan Caraway,0,,D,SUB,1,2011-12-03,2011,1,1,,,,,,,,,,,,,0.999,0,0,1
Jake Hecht,2011-12-10,27,182.88,193.04,77.1,Orthodox,Welterweight,210.0,Rich Attonito,4,1.4194,V,KO/TKO,3,2012-06-08,2011,1,3,1.0,3.3333,1.0601,0.0,1.0,1.0,1.0,,,,,,1.056,1,0,1
Mitch Clarke,2011-12-10,26,177.8,185.42,70.3,Orthodox,Lightweight,315.0,John Cholish,0,,D,KO/TKO,7,2017-09-09,2011,1,3,1.0,1.6667,0.7348,1.0,1.0,0.0,0.0,21.3333,0.253,1.0,0.123,0.3333,1.043,1,0,1
John Cholish,2011-12-10,27,180.34,182.88,70.3,Orthodox,Lightweight,-345.0,Mitch Clarke,0,,V,KO/TKO,3,2013-05-18,2011,1,3,1.0,7.3333,1.4813,1.0,1.0,1.0,0.0,,,,,,1.014,1,0,1
Alistair Overeem,2011-12-30,31,193.04,203.2,120.2,Orthodox,Heavyweight,-140.0,Brock Lesnar,6,1.9497,V,KO/TKO,20,2021-02-06,2011,1,3,1.0,5.0,2.0481,0.0,3.0,0.0,1.0,37.0,0.707,0.3333,0.333,0.0,1.053,1,1,1
Carlo Prater,2012-01-14,30,180.34,182.88,70.3,Switch,Welterweight,455.0,Erick Silva,1,0.7167,V,DQ,3,2012-10-05,2012,1,3,1.0,3.0,0.8519,0.0,0.0,0.0,0.0,,,,,,1.014,1,0,1
Ednaldo Oliveira,2012-01-14,27,195.58,200.66,93.0,Orthodox,Heavyweight,130.0,Gabriel Gonzaga,12,0.3874,D,SUB,2,2013-08-03,2012,1,2,,,,,,,,,,,,,1.026,0,0,1
Antonio Carvalho,2012-01-14,32,175.26,172.72,65.8,Orthodox,Featherweight,-165.0,Felipe Arantes,1,0.3874,D,U-DEC,4,2013-03-16,2012,1,3,2.0,1.6667,0.3874,0.0,1.0,0.0,0.0,31.6667,0.33,0.0,0.0,0.0,0.986,1,0,1
Jared Papazian,2012-01-20,23,172.72,170.18,61.2,Southpaw,Bantamweight,380.0,Mike Easton,1,0.7167,D,M-DEC,3,2012-12-15,2012,1,3,0.0,1.0,0.5521,0.0,0.0,1.0,0.0,,,,,,0.985,1,0,1
Khabib Nurmagomedov,2012-01-20,23,177.8,177.8,70.3,Orthodox,Lightweight,-110.0,Kamal Shalorus,1,0.3874,V,SUB,13,2020-10-24,2012,1,3,3.0,9.3333,1.115,0.0,1.0,1.0,1.0,27.3333,0.463,1.0,0.11,0.3333,1.0,1,1,1
Tommy Hayden,2012-01-20,25,175.26,182.88,65.8,Southpaw,Lightweight,280.0,Fabricio Camoes,2,0.3874,D,SUB,2,2012-08-11,2012,1,2,,,,,,,,,,,,,1.043,0,0,1
Daniel Pineda,2012-01-20,26,170.18,175.26,65.8,Orthodox,Featherweight,-140.0,Pat Schilling,0,,V,SUB,13,2024-10-19,2012,1,3,2.0,2.0,0.582,1.0,0.0,2.0,0.0,20.3333,0.6,0.6667,0.443,1.0,1.03,1,1,1
Pat Schilling,2012-01-20,23,172.72,175.26,65.8,Orthodox,Featherweight,130.0,Daniel Pineda,0,,D,SUB,2,2012-06-01,2012,1,2,,,,,,,,,,,,,1.015,0,0,1
Nick Denis,2012-01-20,28,170.18,178.0,61.2,Orthodox,Bantamweight,-275.0,Joseph Sandoval,1,0.3874,V,KO/TKO,2,2012-05-05,2012,1,2,,,,,,,,,,,,,1.046,0,0,1
Eric Wisely,2012-01-28,27,172.72,178.0,65.8,Southpaw,Featherweight,475.0,Charles Oliveira,5,2.3201,D,SUB,2,2012-04-14,2012,1,2,,,,,,,,,,,,,1.031,0,0,1
Lavar Johnson,2012-01-28,34,193.04,208.28,108.9,Orthodox,Heavyweight,160.0,Joey Beltran,6,1.1613,V,KO/TKO,4,2013-02-23,2012,1,3,2.0,8.0,1.1311,0.0,2.0,1.0,1.0,36.0,0.603,0.0,0.0,0.0,1.079,1,0,1
Fabricio Werdum,2012-02-04,34,193.04,195.58,104.8,Orthodox,Heavyweight,-150.0,Roy Nelson,5,1.1988,V,U-DEC,14,2020-07-25,2012,0,3,3.0,5.6667,1.2362,0.0,1.0,0.0,2.0,34.8571,0.609,0.4286,0.143,0.1429,1.013,1,1,0
Max Holloway,2012-02-04,20,180.34,175.26,70.3,Orthodox,Featherweight,445.0,Dustin Poirier,3,2.2661,D,SUB,32,2026-03-07,2012,1,3,2.0,1.6667,2.2661,0.0,1.0,1.0,0.0,52.6667,0.337,0.0,0.0,0.0,0.972,1,1,1
Henry Martinez,2012-02-04,28,170.18,172.72,70.3,Southpaw,Welterweight,328.0,Matthew Riddle,8,1.1578,D,S-DEC,3,2012-12-08,2012,1,3,1.0,3.3333,1.1578,0.0,1.0,0.0,0.0,,,,,,1.015,1,0,1
Michael Kuiper,2012-02-04,22,182.88,185.42,83.9,Orthodox,Middleweight,142.0,Rafael Natal,3,0.5521,D,U-DEC,4,2013-10-26,2012,1,3,1.0,5.3333,0.6449,0.0,1.0,1.0,0.0,33.3333,0.513,1.3333,0.5,0.0,1.014,1,0,1
Dan Stittgen,2012-02-04,31,185.42,180.0,77.1,Orthodox,Welterweight,290.0,Stephen Thompson,0,,D,KO/TKO,2,2012-07-11,2012,1,2,,,,,,,,,,,,,0.971,0,0,1
Stephen Thompson,2012-02-04,28,182.88,190.5,77.1,Orthodox,Welterweight,-320.0,Dan Stittgen,0,,V,KO/TKO,21,2025-07-12,2012,1,3,2.0,4.0,0.5829,1.0,1.0,0.0,0.0,51.3333,0.517,0.6667,0.167,0.0,1.042,1,1,1
Anton Kuivanen,2012-02-15,27,172.72,182.88,70.3,Orthodox,Lightweight,130.0,Justin Salas,0,,D,U-DEC,3,2013-02-23,2012,1,3,1.0,0.6667,0.4627,1.0,0.0,1.0,0.0,,,,,,1.059,1,0,1
Justin Salas,2012-02-15,29,172.72,177.8,70.3,Southpaw,Lightweight,-140.0,Anton Kuivanen,0,,V,U-DEC,7,2016-03-05,2012,1,3,2.0,3.0,0.5379,1.0,1.0,0.0,0.0,36.3333,0.483,2.3333,0.197,0.0,1.029,1,0,1
Tim Means,2012-02-15,27,187.96,190.5,77.1,Orthodox,Lightweight,115.0,Bernardo Magalhaes,0,,V,U-DEC,29,2024-10-05,2012,1,3,2.0,0.3333,,2.0,1.0,0.0,0.0,50.6667,0.47,0.0,0.0,0.0,1.014,1,1,1
Bernardo Magalhaes,2012-02-15,30,175.26,165.1,70.3,Orthodox,Lightweight,-125.0,Tim Means,0,,D,U-DEC,2,2012-06-08,2012,1,2,,,,,,,,,,,,,0.942,0,0,1
Eiji Mitsuoka,2012-02-25,36,170.18,173.0,65.8,Southpaw,Lightweight,230.0,Takanori Gomi,4,0.5047,D,KO/TKO,2,2012-08-11,2012,1,2,,,,,,,,,,,,,1.017,0,0,1
Issei Tamura,2012-02-25,27,165.1,160.02,61.2,Orthodox,Featherweight,181.0,Tiequan Zhang,2,0.5521,V,KO/TKO,3,2013-03-16,2012,1,3,1.0,2.3333,0.6119,0.0,3.0,0.0,0.0,,,,,,0.969,1,0,1
Yasuhiro Urushitani,2012-03-02,35,165.1,170.0,56.7,Southpaw,Flyweight,680.0,Joseph Benavidez,2,0.8567,D,KO/TKO,2,2012-11-10,2012,1,2,,,,,,,,,,,,,1.03,0,0,1
Nick Penner,2012-03-02,31,193.04,195.58,93.0,Southpaw,Light Heavyweight,-145.0,Anthony Perosh,5,1.0412,D,KO/TKO,2,2012-12-14,2012,1,2,,,,,,,,,,,,,1.013,0,0,1
Andrew Craig,2012-03-02,26,185.42,193.04,77.1,Orthodox,Middleweight,235.0,Kyle Noke,4,1.451,V,U-DEC,7,2015-07-15,2012,1,3,2.0,3.3333,0.9551,0.0,1.0,0.0,1.0,26.3333,0.48,0.3333,0.167,0.0,1.041,1,0,1
Oli Thompson,2012-03-02,32,185.42,190.5,109.8,Orthodox,Heavyweight,200.0,Shawn Jordan,0,,D,KO/TKO,2,2012-08-04,2012,1,2,,,,,,,,,,,,,1.027,0,0,1
Shawn Jordan,2012-03-02,27,182.88,190.5,117.9,Southpaw,Heavyweight,-220.0,Oli Thompson,0,,V,KO/TKO,10,2015-10-03,2012,1,3,2.0,7.0,1.9281,1.0,2.0,0.0,1.0,40.3333,0.5,0.6667,0.333,0.0,1.042,1,1,1
Thiago Silva,2012-04-14,29,187.96,187.96,93.0,Orthodox,Light Heavyweight,240.0,Alexander Gustafsson,6,2.054,D,U-DEC,3,2013-10-09,2012,0,3,2.0,6.6667,1.477,1.0,0.0,0.0,0.0,,,,,,1.0,1,0,0
Siyar Bahadurzada,2012-04-14,27,180.34,185.42,77.1,Orthodox,Welterweight,140.0,Paulo Thiago,7,0.5521,V,KO/TKO,8,2019-09-28,2012,1,3,1.0,8.3333,1.2855,0.0,1.0,0.0,0.0,17.3333,0.437,0.3333,0.167,0.0,1.028,1,1,1
Tom DeBlass,2012-04-14,29,182.88,190.5,83.9,Orthodox,Light Heavyweight,-192.0,Cyrille Diabate,4,0.7634,D,M-DEC,2,2012-11-10,2012,1,2,,,,,,,,,,,,,1.042,0,0,1
Magnus Cedenblad,2012-04-14,30,195.58,200.66,83.9,Orthodox,Middleweight,260.0,Francis Carmont,1,0.817,D,SUB,6,2016-11-19,2012,1,3,2.0,2.6667,0.6694,0.0,0.0,3.0,0.0,10.6667,0.54,1.0,0.2,1.0,1.026,1,0,1
Reza Madadi,2012-04-14,33,180.34,182.88,70.3,Orthodox,Lightweight,-250.0,Yoislandy Izquierdo,0,,V,SUB,7,2017-05-28,2012,1,3,2.0,2.6667,3.0551,1.0,0.0,2.0,1.0,37.3333,0.743,3.3333,0.61,1.0,1.014,1,0,1
Yoislandy Izquierdo,2012-04-14,28,180.34,184.0,70.3,Southpaw,Lightweight,230.0,Reza Madadi,0,,D,SUB,2,2012-07-07,2012,1,2,,,,,,,,,,,,,1.02,0,0,1
Simeon Thoresen,2012-04-14,28,185.42,200.66,77.1,Orthodox,Welterweight,-325.0,Besam Yousef,0,,V,SUB,3,2013-01-26,2012,1,3,1.0,2.0,0.5481,1.0,1.0,1.0,0.0,,,,,,1.082,1,0,1
Besam Yousef,2012-04-14,27,180.34,180.34,77.1,Orthodox,Welterweight,295.0,Simeon Thoresen,0,,D,SUB,2,2013-04-06,2012,1,2,,,,,,,,,,,,,1.0,0,0,1
John Alessio,2012-04-21,32,177.8,182.88,70.3,Orthodox,Lightweight,260.0,Mark Bocek,10,1.7587,D,U-DEC,2,2012-07-07,2012,0,2,,,,,,,,,,,,,1.029,0,0,0
Chad Griggs,2012-04-21,33,185.42,185.42,93.0,Orthodox,Heavyweight,270.0,Travis Browne,4,1.5008,D,SUB,2,2012-11-17,2012,1,2,,,,,,,,,,,,,1.0,0,0,1
Chris Clements,2012-04-21,36,177.8,177.8,77.1,Orthodox,Welterweight,-145.0,Keith Wisniewski,2,0.3874,V,S-DEC,4,2015-04-25,2012,1,3,2.0,2.3333,0.4009,0.0,2.0,0.0,0.0,37.0,0.59,0.0,0.0,0.0,1.0,1,0,1
Maximo Blanco,2012-04-21,28,172.72,180.34,65.8,Orthodox,Featherweight,-235.0,Marcus Brimage,1,0.7167,D,S-DEC,9,2016-09-17,2012,1,3,1.0,1.6667,0.6973,0.0,0.0,0.0,0.0,25.0,0.43,1.0,0.5,0.3333,1.044,1,1,1
Tim Elliott,2012-05-05,25,170.18,167.64,61.2,Southpaw,Flyweight,440.0,John Dodson,1,0.7167,D,U-DEC,21,2025-08-16,2012,1,3,2.0,1.6667,0.6798,0.0,0.0,0.0,0.0,77.0,0.483,4.3333,0.5,2.0,0.985,1,1,1
John Lineker,2012-05-05,21,160.02,170.18,61.2,Orthodox,Flyweight,-265.0,Louis Gaudinot,1,0.3874,D,SUB,16,2019-04-27,2012,1,3,2.0,1.0,0.3391,0.0,1.0,1.0,0.0,69.6667,0.413,0.0,0.0,0.0,1.063,1,1,1
Marcus LeVesseur,2012-05-15,29,175.26,177.8,70.3,Southpaw,Lightweight,-185.0,Cody McKenzie,3,0.7167,D,SUB,3,2012-12-08,2012,1,3,1.0,1.6667,0.7167,1.0,1.0,1.0,0.0,,,,,,1.014,1,0,1
Antonio Silva,2012-05-26,32,193.04,203.2,119.8,Orthodox,Heavyweight,355.0,Cain Velasquez,8,0.9706,D,KO/TKO,10,2016-09-24,2012,1,3,2.0,4.6667,1.0259,0.0,3.0,0.0,1.0,12.3333,0.56,0.0,0.0,0.0,1.053,1,1,1
Shane del Rosario,2012-05-26,28,193.04,200.66,113.4,Southpaw,Heavyweight,150.0,Stipe Miocic,2,0.7165,D,KO/TKO,2,2012-12-15,2012,1,2,,,,,,,,,,,,,1.039,0,0,1
Jamie Varner,2012-05-26,27,172.72,182.88,70.3,Orthodox,Lightweight,460.0,Edson Barboza,4,2.0195,V,KO/TKO,7,2014-12-13,2012,0,3,2.0,11.3333,2.4879,0.0,1.0,1.0,2.0,31.8,0.408,4.2,0.76,0.8,1.059,1,0,0
Glover Teixeira,2012-05-26,32,187.96,193.04,93.0,Orthodox,Light Heavyweight,-235.0,Kyle Kingsbury,6,1.4437,V,SUB,23,2023-01-21,2012,1,3,3.0,6.6667,0.984,0.0,1.0,1.0,1.0,60.0,0.507,2.6667,0.667,0.6667,1.027,1,1,1
Michael Chiesa,2012-06-01,24,185.42,190.5,77.1,Southpaw,Lightweight,240.0,Al Iaquinta,0,,V,SUB,22,2026-03-28,2012,1,3,2.0,1.0,0.4143,1.0,0.0,3.0,0.0,12.6667,0.383,1.3333,0.31,1.0,1.027,1,1,1
Al Iaquinta,2012-06-01,25,177.8,177.8,70.3,Orthodox,Lightweight,-260.0,Michael Chiesa,0,,D,SUB,15,2021-11-06,2012,1,3,2.0,0.6667,,1.0,0.0,1.0,0.0,57.6667,0.46,2.0,0.417,0.0,1.0,1,1,1
Justin Lawrence,2012-06-01,22,172.72,170.18,65.8,Orthodox,Lightweight,-345.0,John Cofer,0,,V,KO/TKO,3,2013-04-13,2012,1,3,1.0,2.0,0.8307,1.0,2.0,1.0,0.0,,,,,,0.985,1,0,1
John Cofer,2012-06-01,28,175.26,185.42,70.3,Southpaw,Lightweight,315.0,Justin Lawrence,0,,D,KO/TKO,2,2012-12-15,2012,1,2,,,,,,,,,,,,,1.058,0,0,1
Daron Cruickshank,2012-06-01,26,172.72,182.88,70.3,Switch,Lightweight,-174.0,Chris Tickle,0,,V,U-DEC,12,2016-01-17,2012,1,3,2.0,2.3333,1.229,1.0,1.0,0.0,0.0,40.0,0.46,1.3333,0.267,0.0,1.059,1,1,1
Chris Tickle,2012-06-01,30,175.26,178.0,70.3,Orthodox,Lightweight,164.0,Daron Cruickshank,0,,D,U-DEC,1,2012-06-01,2012,1,1,,,,,,,,,,,,,1.016,0,0,1
Myles Jury,2012-06-01,23,177.8,185.42,65.8,Orthodox,Lightweight,-310.0,Chris Saunders,0,,V,SUB,12,2019-02-17,2012,1,3,3.0,3.3333,0.8354,1.0,1.0,1.0,1.0,24.3333,0.3,1.6667,0.5,0.6667,1.043,1,1,1
Chris Saunders,2012-06-01,26,172.72,175.0,70.3,Orthodox,Lightweight,280.0,Myles Jury,0,,D,SUB,1,2012-06-01,2012,1,1,,,,,,,,,,,,,1.013,0,0,1
Cristiano Marcello,2012-06-01,34,175.26,182.88,70.3,Orthodox,Lightweight,177.0,Sam Sicilia,0,,D,KO/TKO,4,2014-02-15,2012,1,3,1.0,0.3333,,2.0,1.0,0.0,0.0,48.0,0.383,0.3333,0.083,0.0,1.043,1,0,1
Sam Sicilia,2012-06-01,26,172.72,170.18,65.8,Orthodox,Lightweight,-192.0,Cristiano Marcello,0,,V,KO/TKO,12,2017-02-19,2012,1,3,1.0,0.6667,0.2908,1.0,2.0,0.0,0.0,32.6667,0.337,0.6667,0.38,0.3333,0.985,1,1,1
Joe Proctor,2012-06-01,26,177.8,182.88,70.3,Orthodox,Lightweight,-280.0,Jeremy Larsen,0,,V,KO/TKO,8,2017-04-22,2012,1,3,2.0,2.0,0.9031,1.0,1.0,0.0,1.0,32.6667,0.343,0.0,0.0,1.6667,1.029,1,1,1
Jeremy Larsen,2012-06-01,28,177.8,177.8,65.8,Orthodox,Lightweight,255.0,Joe Proctor,0,,D,KO/TKO,3,2013-10-19,2012,1,3,0.0,0.3333,,2.0,3.0,0.0,0.0,,,,,,1.0,1,0,1
Erik Perez,2012-06-01,22,172.72,172.72,61.2,Orthodox,Bantamweight,170.0,John Albert,2,0.7167,V,SUB,9,2016-11-05,2012,1,3,3.0,2.0,0.5521,0.0,2.0,1.0,0.0,22.3333,0.727,0.0,0.0,0.3333,1.0,1,1,1
Ian McCall,2012-06-08,28,165.1,162.56,56.7,Orthodox,Flyweight,100.0,Demetrious Johnson,4,1.3608,D,U-DEC,5,2015-01-31,2012,0,3,1.0,3.0,1.1961,0.0,0.0,0.0,0.0,62.5,0.4,1.75,0.245,0.0,0.985,1,0,0
Buddy Roberts,2012-06-08,29,187.96,193.0,83.9,Orthodox,Middleweight,-130.0,Caio Magalhaes,0,,V,U-DEC,2,2012-08-11,2012,1,2,,,,,,,,,,,,,1.027,0,0,1
Caio Magalhaes,2012-06-08,24,185.42,185.42,83.9,Orthodox,Middleweight,120.0,Buddy Roberts,0,,D,U-DEC,7,2016-09-10,2012,1,3,2.0,3.3333,1.4426,1.0,0.0,1.0,1.0,25.0,0.43,1.0,0.21,1.6667,1.0,1,0,1
CJ Keith,2012-06-22,25,182.88,185.0,70.3,Orthodox,Lightweight,140.0,Ramsey Nijem,2,0.5521,D,KO/TKO,2,2013-01-19,2012,1,2,,,,,,,,,,,,,1.012,0,0,1
Brock Jardine,2012-06-22,26,180.34,185.42,77.1,Orthodox,Welterweight,330.0,Rick Story,9,5.0142,D,U-DEC,2,2013-02-23,2012,1,2,,,,,,,,,,,,,1.028,0,0,1
Joey Gambino,2012-06-22,23,170.18,178.0,65.8,Orthodox,Featherweight,-120.0,Steven Siler,2,0.7167,D,SUB,2,2012-10-13,2012,1,2,,,,,,,,,,,,,1.046,0,0,1
Cezar Ferreira,2012-06-23,27,185.42,198.12,83.9,Southpaw,Middleweight,-315.0,Sergio Moraes,0,,V,U-DEC,15,2019-07-13,2012,1,3,3.0,0.6667,,2.0,0.0,1.0,0.0,20.0,0.427,1.0,0.25,0.3333,1.068,1,1,1
Sergio Moraes,2012-06-23,29,182.88,182.88,77.1,Orthodox,Middleweight,258.0,Cezar Ferreira,0,,D,U-DEC,13,2019-11-16,2012,1,3,2.0,0.3333,,2.0,0.0,2.0,0.0,22.3333,0.507,1.6667,0.453,0.6667,1.0,1,1,1
Godofredo Pepey,2012-06-23,24,170.18,185.42,65.8,Orthodox,Featherweight,240.0,Rony Jason,0,,D,U-DEC,11,2018-01-27,2012,1,3,1.0,1.3333,1.2266,1.0,1.0,0.0,0.0,24.0,0.383,0.3333,0.167,0.3333,1.09,1,1,1
Rony Jason,2012-06-23,28,170.18,177.8,65.8,Orthodox,Featherweight,-260.0,Godofredo Pepey,0,,V,U-DEC,8,2017-03-11,2012,1,3,3.0,0.6667,0.5379,1.0,1.0,1.0,0.0,29.6667,0.603,0.3333,0.333,0.6667,1.045,1,1,1
Hacran Dias,2012-06-23,28,172.72,175.26,70.3,Orthodox,Featherweight,167.0,Iuri Alcantara,2,0.7167,V,U-DEC,8,2017-10-28,2012,1,3,1.0,6.0,2.1012,0.0,0.0,0.0,0.0,30.0,0.433,2.6667,0.41,0.3333,1.015,1,1,1
Anistavio Medeiros,2012-06-23,24,167.64,178.0,65.8,Orthodox,Featherweight,185.0,Rodrigo Damm,0,,D,SUB,1,2012-06-23,2012,1,1,,,,,,,,,,,,,1.062,0,0,1
Rodrigo Damm,2012-06-23,32,170.18,180.34,70.3,Orthodox,Featherweight,-200.0,Anistavio Medeiros,0,,V,SUB,7,2015-01-03,2012,1,3,2.0,1.0,,1.0,0.0,1.0,0.0,45.6667,0.43,0.6667,0.093,0.3333,1.06,1,0,1
Delson Heleno,2012-06-23,34,180.34,183.0,83.9,Orthodox,Middleweight,-120.0,Francisco Trinaldo,0,,D,KO/TKO,1,2012-06-23,2012,1,1,,,,,,,,,,,,,1.015,0,0,1
Francisco Trinaldo,2012-06-23,33,175.26,177.8,70.3,Southpaw,Middleweight,110.0,Delson Heleno,0,,V,KO/TKO,26,2022-10-01,2012,1,3,2.0,5.6667,1.1831,1.0,1.0,1.0,0.0,26.0,0.63,0.6667,0.133,1.0,1.014,1,1,1
John Teixeira,2012-06-23,25,170.18,173.0,65.8,Orthodox,Featherweight,185.0,Hugo Viana,0,,D,S-DEC,1,2012-06-23,2012,1,1,,,,,,,,,,,,,1.017,0,0,1
Hugo Viana,2012-06-23,29,167.64,170.18,61.2,Orthodox,Featherweight,-200.0,John Teixeira,0,,V,S-DEC,6,2015-08-01,2012,1,3,2.0,2.0,0.6417,1.0,2.0,0.0,0.0,32.6667,0.447,0.0,0.0,0.0,1.015,1,0,1
Thiago Perpetuo,2012-06-23,24,177.8,180.34,77.1,Orthodox,Middleweight,-115.0,Leonardo Mafra,0,,V,KO/TKO,3,2014-03-23,2012,1,3,1.0,1.3333,0.4005,2.0,2.0,1.0,0.0,,,,,,1.014,1,0,1
Leonardo Mafra,2012-06-23,23,177.8,177.8,70.3,Orthodox,Middleweight,105.0,Thiago Perpetuo,0,,D,KO/TKO,4,2015-07-18,2012,1,3,1.0,5.3333,2.7784,1.0,1.0,1.0,0.0,46.0,0.48,1.6667,0.277,0.3333,1.0,1,0,1
Marcos Vinicius,2012-06-23,32,175.26,177.8,56.7,Orthodox,Featherweight,-260.0,Wagner Campos,0,,V,KO/TKO,3,2013-09-04,2012,1,3,1.0,0.3333,0.7167,2.0,3.0,0.0,0.0,,,,,,1.014,1,0,1
Wagner Campos,2012-06-23,30,167.64,168.0,65.8,Southpaw,Featherweight,240.0,Marcos Vinicius,0,,D,KO/TKO,1,2012-06-23,2012,1,1,,,,,,,,,,,,,1.002,0,0,1
