combattant,date_debut,age_debut,taille_cm,allonge_cm,poids_kg,garde,categorie_debut,cote_debut,adv1,adv1_combats_avant,adv1_pagerank,resultat_debut,methode_debut,nb_combats_total,date_dernier_combat,annee_debut,debut_propre,n_premiers,victoires_3premiers,adv3_combats_moy,adv3_pagerank_moy,adv3_nouveaux,ko_tko_3premiers,soumissions_3premiers,victoires_adv_central_3premiers,frappes_sig_moy_apres3,precision_frappes_apres3,takedowns_moy_apres3,precision_td_apres3,soumissions_tent_moy_apres3,ratio_allonge_taille,au_moins_3_combats,Y_8_combats_plus,dans_cohorte
Jason Brilz,2010-03-21,34,180.34,180.34,93.0,Orthodox,Light Heavyweight,-160.0,Eric Schafer,6,,V,U-DEC,4,2011-11-19,2010,0,3,1.0,5.3333,1.4194,0.0,1.0,0.0,0.0,30.6667,0.537,1.8333,0.372,1.0,1.0,1,0,0
Georges St-Pierre,2010-03-27,28,180.34,193.04,83.9,Orthodox,Welterweight,-650.0,Dan Hardy,4,,V,U-DEC,7,2017-11-04,2010,0,3,3.0,7.3333,1.1625,0.0,0.0,0.0,1.0,54.2778,0.564,3.7778,0.743,1.2222,1.07,1,0,0
Dan Hardy,2010-03-27,27,182.88,187.96,77.1,Orthodox,Welterweight,550.0,Georges St-Pierre,15,,D,U-DEC,6,2012-09-29,2010,0,3,0.0,8.6667,,0.0,1.0,0.0,0.0,22.8571,0.307,0.2857,0.179,0.4286,1.028,1,0,0
Frank Mir,2010-03-27,30,190.5,200.66,119.8,Southpaw,Heavyweight,-150.0,Shane Carwin,3,,D,KO/TKO,12,2016-03-19,2010,0,3,2.0,4.3333,2.0551,0.0,1.0,0.0,1.0,12.7222,0.506,1.0,0.334,1.0556,1.053,1,1,0
Shane Carwin,2010-03-27,35,187.96,203.2,120.2,Orthodox,Heavyweight,140.0,Frank Mir,15,,V,KO/TKO,3,2011-06-11,2010,0,3,1.0,8.3333,2.4959,0.0,1.0,1.0,0.0,,,,,,1.081,1,0,0
Kurt Pellegrino,2010-03-27,30,172.72,177.8,70.3,Orthodox,Lightweight,-210.0,Fabricio Camoes,1,,V,SUB,3,2011-03-19,2010,0,3,1.0,6.0,0.9726,0.0,0.0,1.0,0.0,,,,,,1.029,1,0,0
Fabricio Camoes,2010-03-27,31,177.8,185.42,70.3,Orthodox,Lightweight,190.0,Kurt Pellegrino,9,,D,SUB,5,2014-10-25,2010,0,3,1.0,8.3333,2.4796,1.0,0.0,2.0,0.0,13.5,0.43,2.0,0.385,1.25,1.043,1,0,0
Ben Saunders,2010-03-27,26,187.96,195.58,77.1,Orthodox,Welterweight,295.0,Jon Fitch,12,,D,U-DEC,14,2019-12-14,2010,0,3,1.0,5.6667,,1.0,0.0,1.0,0.0,23.875,0.653,0.125,0.125,1.125,1.041,1,1,0
Jon Fitch,2010-03-27,32,182.88,193.04,77.1,Orthodox,Welterweight,-325.0,Ben Saunders,5,,V,U-DEC,5,2013-02-02,2010,0,3,2.0,8.0,1.6708,0.0,1.0,0.0,0.0,33.875,0.488,3.25,0.511,0.6875,1.056,1,0,0
Jim Miller,2010-03-27,26,172.72,180.34,70.3,Southpaw,Lightweight,-320.0,Mark Bocek,6,,V,U-DEC,39,2025-04-12,2010,0,3,3.0,6.3333,,0.0,0.0,1.0,0.0,25.2222,0.33,1.8889,0.427,2.0,1.044,1,1,0
Mark Bocek,2010-03-27,28,172.72,190.5,70.3,Orthodox,Lightweight,290.0,Jim Miller,6,,D,U-DEC,7,2014-04-16,2010,0,3,1.0,5.0,,1.0,0.0,1.0,0.0,15.3333,0.373,2.5556,0.567,1.3333,1.103,1,0,0
Nate Diaz,2010-03-27,24,182.88,193.04,77.1,Southpaw,Welterweight,-235.0,Rory Markham,2,,V,KO/TKO,18,2022-09-10,2010,0,3,2.0,6.6667,1.1625,0.0,1.0,1.0,0.0,30.9167,0.412,1.1667,0.457,1.25,1.056,1,1,0
